Date,Price,Open,High,Low,Vol.,Change %
07/03/2015,"26,393","26,010","26,800","26,005",0.27K,1.42%
07/06/2015,"26,335","26,393","26,397","26,205",11.60K,-0.22%
07/07/2015,"26,032","26,271","26,288","25,886",19.00K,-1.15%
07/08/2015,"26,222","26,011","26,250","25,870",17.35K,0.73%
07/09/2015,"26,071","26,130","26,250","26,050",14.66K,-0.58%
07/10/2015,"26,071","26,080","26,175","26,030",12.14K,0.00%
07/13/2015,"26,033","26,122","26,125","25,952",12.04K,-0.15%
07/14/2015,"25,934","26,026","26,095","25,911",11.83K,-0.38%
07/15/2015,"25,852","25,987","25,987","25,774",14.06K,-0.32%
07/16/2015,"25,774","25,824","25,824","25,720",10.57K,-0.30%
07/17/2015,"25,505","25,780","25,780","25,482",13.12K,-1.04%
07/20/2015,"25,042","25,480","25,480","24,910",23.10K,-1.82%
07/21/2015,"24,908","24,997","25,065","24,881",14.62K,-0.54%
07/22/2015,"24,688","24,850","24,850","24,591",20.05K,-0.88%
07/23/2015,"24,742","24,786","24,919","24,716",18.27K,0.22%
07/24/2015,"24,729","24,701","24,829","24,470",19.48K,-0.05%
07/27/2015,"24,910","24,694","25,034","24,671",21.50K,0.73%
07/28/2015,"24,768","24,837","24,870","24,714",14.79K,-0.57%
07/29/2015,"24,729","24,784","24,849","24,705",14.89K,-0.16%
07/30/2015,"24,739","24,702","24,824","24,581",17.05K,0.04%
07/31/2015,"24,789","24,680","24,919","24,551",15.36K,0.20%
08/03/2015,"24,696","24,823","24,886","24,666",2.83K,-0.38%
08/04/2015,"24,638","24,670","24,704","24,540",0.29K,-0.23%
08/05/2015,"24,545","24,614","24,635","24,500",0.10K,-0.38%
08/06/2015,"24,692","24,583","24,745","24,530",10.62K,0.60%
08/07/2015,"24,796","24,682","24,872","24,615",19.13K,0.42%
08/10/2015,"25,026","24,800","25,096","24,774",14.67K,0.93%
08/11/2015,"25,323","25,045","25,430","25,002",20.87K,1.19%
08/12/2015,"25,898","25,400","25,923","25,400",23.19K,2.27%
08/13/2015,"25,763","25,785","25,859","25,700",14.69K,-0.52%
08/14/2015,"25,636","25,706","25,832","25,605",13.49K,-0.49%
08/17/2015,"25,924","25,710","25,999","25,710",13.38K,1.12%
08/18/2015,"25,890","25,920","25,971","25,732",15.15K,-0.13%
08/19/2015,"26,084","25,870","26,115","25,801",15.89K,0.75%
08/20/2015,"26,723","26,145","26,746","26,145",21.39K,2.45%
08/21/2015,"27,090","26,780","27,177","26,676",27.33K,1.37%
08/24/2015,"27,290","27,100","27,689","27,070",27.66K,0.74%
08/25/2015,"26,595","27,250","27,250","26,533",23.41K,-2.55%
08/26/2015,"26,341","26,602","26,694","26,075",20.09K,-0.96%
08/27/2015,"26,197","26,271","26,360","26,102",13.82K,-0.55%
08/28/2015,"26,490","26,220","26,600","26,220",11.90K,1.12%
08/31/2015,"26,540","26,490","26,600","26,363",6.82K,0.19%
09/01/2015,"26,623","26,636","26,847","26,530",2.33K,0.31%
09/02/2015,"26,417","26,594","26,639","26,200",0.63K,-0.77%
09/03/2015,"26,196","26,432","26,474","26,130",0.25K,-0.84%
09/04/2015,"26,256","26,325","26,490","26,001",0.25K,0.23%
09/07/2015,"26,506","26,595","26,620","26,465",9.33K,0.95%
09/08/2015,"26,436","26,500","26,567","26,391",14.03K,-0.26%
09/09/2015,"26,069","26,450","26,486","26,010",16.52K,-1.39%
09/10/2015,"26,179","26,150","26,299","26,062",16.92K,0.42%
09/11/2015,"25,981","26,190","26,209","25,918",15.49K,-0.76%
09/14/2015,"26,078","26,045","26,128","25,970",12.16K,0.37%
09/15/2015,"25,982","26,089","26,095","25,956",12.79K,-0.37%
09/16/2015,"26,285","25,994","26,367","25,967",20.08K,1.17%
09/17/2015,"26,176","26,212","26,273","26,113",7.41K,-0.41%
09/18/2015,"26,476","26,300","26,591","26,300",23.10K,1.15%
09/21/2015,"26,345","26,488","26,550","26,281",17.90K,-0.49%
09/22/2015,"26,242","26,320","26,470","26,180",22.31K,-0.39%
09/23/2015,"26,476","26,240","26,509","26,210",16.31K,0.89%
09/24/2015,"26,965","26,510","27,078","26,462",28.45K,1.85%
09/25/2015,"26,744","26,900","26,900","26,634",10.77K,-0.82%
09/28/2015,"26,508","26,746","26,746","26,361",16.51K,-0.88%
09/29/2015,"26,253","26,574","26,590","26,228",18.83K,-0.96%
09/30/2015,"25,803","26,211","26,371","25,737",22.29K,-1.71%
10/01/2015,"25,782","25,780","25,863","25,680",6.12K,-0.08%
10/05/2015,"26,094","26,159","26,263","25,960",1.35K,1.21%
10/06/2015,"26,512","26,300","26,621","26,272",16.74K,1.60%
10/07/2015,"26,449","26,555","26,675","26,320",18.41K,-0.24%
10/08/2015,"26,351","26,400","26,499","26,240",15.30K,-0.37%
10/09/2015,"26,515","26,311","26,595","26,263",16.34K,0.62%
10/12/2015,"26,678","26,626","26,820","26,527",16.37K,0.61%
10/13/2015,"26,872","26,640","26,916","26,503",20.36K,0.73%
10/14/2015,"27,088","26,920","27,164","26,756",21.56K,0.80%
10/15/2015,"27,142","27,130","27,228","26,940",20.30K,0.20%
10/16/2015,"27,029","27,102","27,102","26,942",13.69K,-0.42%
10/19/2015,"26,882","26,950","26,950","26,803",11.29K,-0.54%
10/20/2015,"26,993","26,821","27,058","26,756",15.06K,0.41%
10/21/2015,"26,821","27,036","27,080","26,801",12.72K,-0.64%
10/22/2015,"26,737","26,850","26,877","26,715",6.53K,-0.31%
10/23/2015,"26,676","26,759","26,965","26,602",16.27K,-0.23%
10/26/2015,"26,689","26,750","26,790","26,642",8.55K,0.05%
10/27/2015,"26,790","26,678","26,820","26,650",8.79K,0.38%
10/28/2015,"26,930","26,824","27,033","26,797",12.54K,0.52%
10/29/2015,"26,470","26,800","26,800","26,450",12.52K,-1.71%
10/30/2015,"26,355","26,464","26,464","26,281",8.80K,-0.43%
11/02/2015,"26,228","26,450","26,450","26,181",3.90K,-0.48%
11/03/2015,"25,863","26,240","26,310","25,833",1.25K,-1.39%
11/04/2015,"25,646","25,950","25,993","25,126",1.19K,-0.84%
11/05/2015,"25,791","25,661","25,917","25,661",0.27K,0.57%
11/06/2015,"25,538","25,834","25,918","25,485",17.49K,-0.98%
11/09/2015,"25,699","25,619","25,780","25,619",13.21K,0.63%
11/10/2015,"25,604","25,710","25,750","25,510",11.94K,-0.37%
11/11/2015,"25,490","25,523","25,548","25,477",2.70K,-0.45%
11/12/2015,"25,341","25,480","25,555","25,223",9.56K,-0.58%
11/13/2015,"25,388","25,395","25,519","25,351",10.87K,0.19%
11/16/2015,"25,360","25,488","25,740","25,336",16.64K,-0.11%
11/17/2015,"25,038","25,284","25,375","24,978",17.53K,-1.27%
11/18/2015,"25,108","25,000","25,180","25,000",13.28K,0.28%
11/19/2015,"25,308","25,199","25,442","25,110",20.14K,0.80%
11/20/2015,"25,252","25,356","25,496","25,214",16.28K,-0.22%
11/23/2015,"25,180","25,235","25,287","25,084",13.97K,-0.29%
11/24/2015,"25,305","25,199","25,395","25,173",13.98K,0.50%
11/25/2015,"25,230","25,250","25,280","25,154",7.60K,-0.30%
11/26/2015,"25,288","25,260","25,346","25,250",8.98K,0.23%
11/27/2015,"25,071","25,221","25,281","24,981",13.07K,-0.86%
11/30/2015,"25,114","24,961","25,180","24,950",10.33K,0.17%
12/01/2015,"25,018","25,189","25,250","24,975",3.71K,-0.38%
12/02/2015,"24,895","25,169","25,190","24,860",0.24K,-0.49%
12/03/2015,"25,043","24,890","25,149","24,803",0.04K,0.59%
12/04/2015,"25,631","25,110","25,750","25,066",0.09K,2.35%
12/07/2015,"25,443","25,589","25,620","25,410",9.90K,-0.73%
12/08/2015,"25,424","25,406","25,515","25,275",11.44K,-0.07%
12/09/2015,"25,499","25,470","25,637","25,333",15.12K,0.29%
12/10/2015,"25,328","25,455","25,455","25,303",10.14K,-0.67%
12/11/2015,"25,581","25,300","25,610","25,162",18.05K,1.00%
12/14/2015,"25,256","25,518","25,539","25,241",14.42K,-1.27%
12/15/2015,"25,173","25,256","25,317","25,111",12.67K,-0.33%
12/16/2015,"25,372","25,235","25,400","25,122",13.48K,0.79%
12/17/2015,"24,766","25,302","25,302","24,671",20.77K,-2.39%
12/18/2015,"25,011","24,802","25,146","24,781",15.39K,0.99%
12/21/2015,"25,302","25,067","25,335","25,051",14.98K,1.16%
12/22/2015,"25,176","25,242","25,316","25,155",12.14K,-0.50%
12/23/2015,"25,004","25,150","25,170","24,992",10.71K,-0.68%
12/24/2015,"25,147","25,040","25,180","25,035",5.61K,0.57%
12/28/2015,"25,077","25,136","25,142","25,062",8.71K,-0.28%
12/29/2015,"25,106","25,129","25,243","25,092",10.21K,0.12%
12/30/2015,"25,017","25,175","25,224","25,003",11.24K,-0.35%
12/31/2015,"24,952","25,032","25,058","24,880",6.11K,-0.26%
01/01/2016,"24,943","24,976","25,071","24,900",2.12K,-0.04%
01/04/2016,"25,423","25,234","25,505","25,030",0.75K,1.92%
01/05/2016,"25,430","25,360","25,486","25,360",0.17K,0.03%
01/06/2016,"25,756","25,440","25,789","25,421",24.14K,1.28%
01/07/2016,"26,106","25,800","26,130","25,780",25.32K,1.36%
01/08/2016,"25,989","26,035","26,095","25,785",23.70K,-0.45%
01/11/2016,"25,877","26,075","26,110","25,831",19.91K,-0.43%
01/12/2016,"25,689","25,876","25,966","25,630",20.16K,-0.73%
01/13/2016,"25,750","25,660","25,794","25,530",18.36K,0.24%
01/14/2016,"25,652","25,800","26,028","25,609",24.08K,-0.38%
01/15/2016,"26,126","25,630","26,220","25,630",29.46K,1.85%
01/18/2016,"26,070","26,073","26,110","25,971",14.09K,-0.21%
01/19/2016,"26,064","26,041","26,085","25,873",20.91K,-0.02%
01/20/2016,"26,563","26,100","26,661","26,100",32.27K,1.91%
01/21/2016,"26,190","26,473","26,513","26,150",28.39K,-1.40%
01/22/2016,"26,168","26,254","26,301","26,113",16.83K,-0.08%
01/25/2016,"26,391","26,170","26,444","26,170",16.22K,0.85%
01/27/2016,"26,736","26,450","26,819","26,450",15.51K,1.31%
01/28/2016,"26,701","26,850","26,900","26,600",16.51K,-0.13%
01/29/2016,"26,709","26,679","26,763","26,527",15.26K,0.03%
02/01/2016,"26,973","26,755","27,049","26,645",3.57K,0.99%
02/02/2016,"27,008","27,782","27,782","26,861",1.05K,0.13%
02/03/2016,"27,285","27,134","27,325","26,976",0.44K,1.03%
02/04/2016,"27,656","27,235","27,800","27,207",0.11K,1.36%
02/05/2016,"27,568","27,770","28,113","26,850",0.19K,-0.32%
02/08/2016,"28,367","27,496","28,429","27,496",29.38K,2.90%
02/09/2016,"28,325","28,345","28,423","28,078",24.63K,-0.15%
02/10/2016,"28,211","28,238","28,250","27,935",20.53K,-0.40%
02/11/2016,"29,706","28,250","30,000","28,250",46.40K,5.30%
02/12/2016,"29,287","29,517","29,722","29,251",24.73K,-1.41%
02/15/2016,"28,595","29,251","29,251","28,521",19.54K,-2.36%
02/16/2016,"28,800","28,550","28,969","28,111",31.58K,0.72%
02/17/2016,"28,781","28,790","28,940","28,637",21.68K,-0.07%
02/18/2016,"29,210","28,780","29,270","28,614",22.30K,1.49%
02/19/2016,"29,432","29,229","29,547","29,180",25.79K,0.76%
02/22/2016,"28,916","29,340","29,340","28,762",21.11K,-1.75%
02/23/2016,"29,234","29,095","29,317","29,077",22.08K,1.10%
02/24/2016,"29,523","29,310","29,884","29,210",31.23K,0.99%
02/25/2016,"29,735","29,470","29,765","29,363",26.25K,0.72%
02/26/2016,"29,290","29,588","29,692","29,135",25.74K,-1.50%
02/29/2016,"29,437","29,236","29,625","29,236",14.79K,0.50%
03/01/2016,"29,097","29,600","29,754","29,080",3.94K,-1.16%
03/02/2016,"29,219","29,009","29,240","28,960",1.00K,0.42%
03/03/2016,"29,381","29,209","29,525","29,120",0.99K,0.55%
03/04/2016,"29,519","29,684","29,983","29,233",0.33K,0.47%
03/07/2016,"29,597","29,875","29,960","29,556",14.02K,0.26%
03/08/2016,"29,819","29,760","30,147","29,760",38.49K,0.75%
03/09/2016,"29,597","29,750","29,750","29,317",34.88K,-0.74%
03/10/2016,"29,928","29,500","29,950","29,088",52.19K,1.12%
03/11/2016,"29,504","29,905","29,920","29,470",36.90K,-1.42%
03/14/2016,"29,204","29,449","29,570","29,140",30.93K,-1.02%
03/15/2016,"29,050","29,109","29,249","28,885",33.26K,-0.53%
03/16/2016,"28,970","29,080","29,157","28,935",22.58K,-0.28%
03/17/2016,"29,357","29,044","29,590","29,044",37.83K,1.34%
03/18/2016,"29,135","29,400","29,460","29,011",27.15K,-0.76%
03/21/2016,"28,937","29,102","29,119","28,831",24.49K,-0.68%
03/22/2016,"29,047","28,950","29,337","28,893",32.24K,0.38%
03/23/2016,"28,568","29,000","29,000","28,510",33.73K,-1.65%
03/24/2016,"28,560","28,503","28,626","28,450",7.43K,-0.03%
03/28/2016,"28,400","28,452","28,487","28,250",16.66K,-0.56%
03/29/2016,"28,616","28,388","28,666","28,281",26.08K,0.76%
03/30/2016,"28,301","28,627","28,692","28,226",20.04K,-1.10%
03/31/2016,"28,441","28,290","28,539","28,290",14.34K,0.49%
04/01/2016,"28,056","28,410","28,530","27,955",5.97K,-1.35%
04/04/2016,"28,086","28,096","28,187","28,032",0.66K,0.11%
04/05/2016,"28,562","28,224","28,699","28,190",0.26K,1.69%
04/06/2016,"28,571","28,700","28,749","28,510",17.37K,0.03%
04/07/2016,"28,972","28,639","29,030","28,618",27.69K,1.40%
04/08/2016,"29,047","29,000","29,074","28,765",22.56K,0.26%
04/11/2016,"29,254","29,099","29,315","29,063",21.30K,0.71%
04/12/2016,"29,250","29,190","29,395","29,152",21.90K,-0.01%
04/13/2016,"29,128","29,212","29,212","28,980",18.81K,-0.42%
04/14/2016,"28,731","29,020","29,050","28,705",13.42K,-1.36%
04/15/2016,"28,918","28,799","28,950","28,772",8.79K,0.65%
04/18/2016,"28,935","28,950","29,128","28,901",18.45K,0.06%
04/19/2016,"29,255","29,050","29,299","29,050",13.29K,1.11%
04/20/2016,"29,249","29,289","29,345","29,101",19.01K,-0.02%
04/21/2016,"29,287","29,216","29,670","29,140",27.66K,0.13%
04/22/2016,"28,941","29,321","29,343","28,914",19.32K,-1.18%
04/25/2016,"29,183","29,050","29,200","28,983",14.64K,0.84%
04/26/2016,"29,158","29,151","29,199","28,981",15.14K,-0.09%
04/27/2016,"29,319","29,200","29,355","29,200",15.58K,0.55%
04/28/2016,"29,627","29,268","29,650","29,200",16.43K,1.05%
04/29/2016,"30,138","29,651","30,192","29,651",18.88K,1.72%
05/02/2016,"30,213","30,177","30,342","30,120",2.92K,0.25%
05/03/2016,"30,154","30,175","30,337","30,050",0.63K,-0.20%
05/04/2016,"29,934","30,145","30,200","29,920",0.17K,-0.73%
05/05/2016,"29,868","29,912","30,135","29,832",0.11K,-0.22%
05/06/2016,"30,366","29,950","30,400","29,950",33.82K,1.67%
05/09/2016,"29,805","30,312","30,312","29,750",29.60K,-1.85%
05/10/2016,"29,785","29,851","29,862","29,622",19.51K,-0.07%
05/11/2016,"29,933","29,825","30,072","29,825",23.18K,0.50%
05/12/2016,"29,904","29,933","30,085","29,765",25.80K,-0.10%
05/13/2016,"30,023","29,900","30,058","29,766",24.07K,0.40%
05/16/2016,"29,963","30,075","30,245","29,915",23.17K,-0.20%
05/17/2016,"30,045","30,040","30,130","29,860",24.61K,0.27%
05/18/2016,"30,049","30,024","30,078","29,910",20.74K,0.01%
05/19/2016,"29,800","29,995","29,995","29,632",26.13K,-0.83%
05/20/2016,"29,693","29,730","29,867","29,661",20.09K,-0.36%
05/23/2016,"29,682","29,694","29,745","29,576",15.64K,-0.04%
05/24/2016,"29,306","29,580","29,651","29,283",22.80K,-1.27%
05/25/2016,"28,945","29,278","29,278","28,884",26.95K,-1.23%
05/26/2016,"28,729","28,996","29,157","28,705",26.94K,-0.75%
05/27/2016,"28,590","28,840","28,840","28,547",18.29K,-0.48%
05/30/2016,"28,590","28,430","28,696","28,400",12.97K,0.00%
05/31/2016,"28,610","28,596","28,719","28,541",10.87K,0.07%
06/01/2016,"28,626","28,531","28,800","28,500",2.60K,0.06%
06/02/2016,"28,554","28,616","28,715","28,530",0.35K,-0.25%
06/03/2016,"29,216","28,703","29,410","28,540",0.33K,2.32%
06/06/2016,"29,329","29,287","29,376","29,220",12.97K,0.39%
06/07/2016,"29,239","29,243","29,325","29,062",13.48K,-0.31%
06/08/2016,"29,491","29,275","29,572","29,275",15.92K,0.86%
06/09/2016,"29,757","29,521","29,777","29,452",18.02K,0.90%
06/10/2016,"29,851","29,760","29,900","29,624",15.50K,0.32%
06/13/2016,"30,181","29,894","30,220","29,894",19.27K,1.11%
06/14/2016,"30,357","30,141","30,385","30,042",19.07K,0.58%
06/15/2016,"30,262","30,300","30,339","30,132",14.90K,-0.31%
06/16/2016,"30,392","30,302","30,985","30,237",34.14K,0.43%
06/17/2016,"30,373","30,320","30,415","30,091",18.37K,-0.06%
06/20/2016,"30,478","30,262","30,505","30,132",21.90K,0.35%
06/21/2016,"30,072","30,357","30,402","30,026",20.45K,-1.33%
06/22/2016,"29,898","30,054","30,054","29,835",16.55K,-0.58%
06/23/2016,"29,686","29,879","29,953","29,641",22.54K,-0.71%
06/24/2016,"31,131","29,835","32,357","29,835",48.21K,4.87%
06/27/2016,"31,218","31,192","31,387","31,135",19.52K,0.28%
06/28/2016,"30,999","31,016","31,085","30,859",14.94K,-0.70%
06/29/2016,"30,986","31,096","31,146","30,920",14.49K,-0.04%
06/30/2016,"30,851","30,905","30,949","30,812",10.66K,-0.44%
07/01/2016,"31,077","31,096","31,220","31,010",4.14K,0.73%
07/04/2016,"31,396","31,390","31,484","31,267",4.73K,1.03%
07/05/2016,"30,841","31,306","31,570","30,500",0.64K,-1.77%
07/06/2016,"32,018","31,948","32,350","31,948",12.41K,3.82%
07/07/2016,"31,817","32,011","32,090","31,653",23.88K,-0.63%
07/08/2016,"31,657","31,832","31,833","31,284",25.97K,-0.50%
07/11/2016,"31,524","31,750","31,888","31,482",15.15K,-0.42%
07/12/2016,"31,001","31,561","31,577","30,951",22.10K,-1.66%
07/13/2016,"31,225","31,120","31,260","31,064",16.80K,0.72%
07/14/2016,"30,895","31,199","31,199","30,711",26.76K,-1.06%
07/15/2016,"30,922","30,822","31,038","30,782",24.11K,0.09%
07/18/2016,"30,950","30,850","31,028","30,810",17.94K,0.09%
07/19/2016,"31,021","31,000","31,041","30,871",13.33K,0.23%
07/20/2016,"30,666","31,045","31,050","30,631",19.82K,-1.14%
07/21/2016,"30,940","30,611","30,970","30,553",21.33K,0.89%
07/22/2016,"30,794","30,939","30,939","30,730",14.22K,-0.47%
07/25/2016,"30,814","30,701","30,849","30,620",14.75K,0.06%
07/26/2016,"30,822","30,796","30,880","30,711",14.21K,0.03%
07/27/2016,"30,878","30,786","30,930","30,690",14.32K,0.18%
07/28/2016,"30,795","30,928","31,180","30,740",18.99K,-0.27%
07/29/2016,"31,099","30,943","31,139","30,812",16.74K,0.99%
08/01/2016,"31,011","31,000","31,118","30,950",5.27K,-0.28%
08/02/2016,"31,282","31,000","31,322","30,993",1.24K,0.87%
08/03/2016,"31,199","31,302","31,439","31,158",0.35K,-0.27%
08/04/2016,"31,317","31,105","31,360","31,072",0.06K,0.38%
08/05/2016,"30,779","31,310","31,380","30,738",0.43K,-1.72%
08/08/2016,"30,998","31,031","31,031","30,863",11.13K,0.71%
08/09/2016,"31,133","30,942","31,165","30,891",12.60K,0.44%
08/10/2016,"31,219","31,180","31,385","31,120",14.45K,0.28%
08/11/2016,"31,171","31,160","31,316","31,082",14.96K,-0.15%
08/12/2016,"31,080","31,100","31,400","30,990",19.75K,-0.29%
08/16/2016,"31,349","31,120","31,440","31,120",16.05K,0.87%
08/17/2016,"31,314","31,265","31,349","31,185",10.41K,-0.11%
08/18/2016,"31,411","31,400","31,447","31,302",9.81K,0.31%
08/19/2016,"31,365","31,341","31,466","31,252",16.52K,-0.15%
08/22/2016,"31,395","31,310","31,428","31,191",12.10K,0.10%
08/23/2016,"31,373","31,372","31,414","31,285",10.23K,-0.07%
08/24/2016,"31,049","31,319","31,364","31,000",13.55K,-1.03%
08/25/2016,"30,945","31,042","31,062","30,884",9.05K,-0.33%
08/26/2016,"31,023","30,967","31,335","30,941",17.46K,0.25%
08/29/2016,"31,077","31,000","31,115","30,876",9.59K,0.17%
08/30/2016,"30,840","31,069","31,069","30,820",7.24K,-0.76%
08/31/2016,"30,746","30,891","30,906","30,711",6.82K,-0.30%
09/01/2016,"30,710","30,757","30,822","30,611",1.25K,-0.12%
09/02/2016,"30,900","30,800","30,971","30,610",0.28K,0.62%
09/05/2016,"31,025","31,000","31,060","30,960",2.48K,0.40%
09/06/2016,"31,401","31,055","31,431","30,968",14.61K,1.21%
09/07/2016,"31,336","31,444","31,482","31,280",12.68K,-0.21%
09/08/2016,"31,239","31,313","31,410","31,188",12.94K,-0.31%
09/09/2016,"31,261","31,256","31,335","31,166",11.47K,0.07%
09/12/2016,"31,087","31,332","31,332","31,041",14.03K,-0.56%
09/13/2016,"31,141","31,130","31,218","31,087",7.06K,0.17%
09/14/2016,"31,100","31,100","31,159","31,066",8.48K,-0.13%
09/15/2016,"30,950","31,149","31,249","30,850",17.17K,-0.48%
09/16/2016,"30,851","30,930","30,961","30,831",8.84K,-0.32%
09/19/2016,"30,936","30,941","31,010","30,915",8.32K,0.28%
09/20/2016,"30,892","30,989","31,027","30,847",10.83K,-0.14%
09/21/2016,"31,207","30,948","31,235","30,800",18.51K,1.02%
09/22/2016,"31,335","31,284","31,373","31,181",13.72K,0.41%
09/23/2016,"31,288","31,271","31,334","31,220",9.70K,-0.15%
09/26/2016,"31,351","31,251","31,369","31,224",9.62K,0.20%
09/27/2016,"31,003","31,290","31,290","30,986",13.08K,-1.11%
09/28/2016,"30,963","31,002","31,051","30,882",8.99K,-0.13%
09/29/2016,"31,224","30,951","31,243","30,950",12.64K,0.84%
09/30/2016,"30,814","31,119","31,287","30,767",9.47K,-1.31%
10/03/2016,"30,749","30,841","31,000","30,695",1.89K,-0.21%
10/04/2016,"30,068","30,705","30,872","30,030",0.23K,-2.21%
10/05/2016,"30,004","30,215","30,350","29,925",0.07K,-0.21%
10/06/2016,"29,615","29,861","29,982","29,582",14.16K,-1.30%
10/07/2016,"29,591","29,700","29,898","29,355",19.55K,-0.08%
10/10/2016,"29,662","29,700","29,900","29,634",10.71K,0.24%
10/11/2016,"29,712","29,611","29,776","29,611",3.93K,0.17%
10/12/2016,"29,662","29,680","29,742","29,579",4.85K,-0.17%
10/13/2016,"29,697","29,700","29,873","29,682",10.06K,0.12%
10/14/2016,"29,638","29,748","29,749","29,454",11.88K,-0.20%
10/17/2016,"29,675","29,651","29,707","29,584",6.55K,0.12%
10/18/2016,"29,773","29,700","29,830","29,671",11.12K,0.33%
10/19/2016,"29,883","29,760","29,969","29,740",10.19K,0.37%
10/20/2016,"29,891","29,950","30,049","29,857",10.01K,0.03%
10/21/2016,"29,936","29,835","29,960","29,800",7.31K,0.15%
10/24/2016,"29,820","29,910","29,980","29,766",12.86K,-0.39%
10/25/2016,"30,034","29,852","30,090","29,716",8.20K,0.72%
10/26/2016,"29,913","30,053","30,151","29,880",8.05K,-0.40%
10/27/2016,"30,054","29,910","30,080","29,910",5.85K,0.47%
10/28/2016,"30,131","30,045","30,181","29,710",12.75K,0.26%
10/30/2016,"30,151","30,120","30,160","30,113",0.94K,0.07%
10/31/2016,"30,057","30,155","30,155","30,001",2.10K,-0.31%
11/01/2016,"30,329","30,073","30,385","30,062",2.26K,0.90%
11/02/2016,"30,759","30,489","30,804","30,425",0.87K,1.42%
11/03/2016,"30,674","30,663","30,700","30,300",0.33K,-0.28%
11/04/2016,"30,689","30,566","30,770","30,550",0.15K,0.05%
11/07/2016,"30,118","30,515","30,515","30,070",13.03K,-1.86%
11/08/2016,"29,899","30,149","30,400","29,766",19.27K,-0.73%
11/09/2016,"29,961","30,191","31,407","29,900",42.74K,0.21%
11/10/2016,"29,986","30,000","30,243","29,868",15.67K,0.08%
11/11/2016,"29,461","29,881","30,022","29,333",17.73K,-1.75%
11/14/2016,"29,676","29,351","29,797","29,331",9.52K,0.73%
11/15/2016,"29,391","29,640","29,650","29,270",10.54K,-0.96%
11/16/2016,"29,463","29,519","29,590","29,387",8.17K,0.24%
11/17/2016,"29,185","29,442","29,462","29,139",9.52K,-0.94%
11/18/2016,"29,005","29,170","29,170","28,838",11.52K,-0.62%
11/21/2016,"29,197","29,039","29,295","29,009",7.82K,0.66%
11/22/2016,"29,182","29,260","29,293","29,101",6.68K,-0.05%
11/23/2016,"28,885","29,241","29,254","28,767",10.85K,-1.02%
11/24/2016,"28,816","28,806","28,859","28,700",7.08K,-0.24%
11/25/2016,"28,671","28,701","28,750","28,331",13.01K,-0.50%
11/28/2016,"28,793","28,980","29,068","28,700",8.36K,0.43%
11/29/2016,"28,853","28,763","28,896","28,680",7.06K,0.21%
11/30/2016,"28,428","28,789","28,845","28,267",9.71K,-1.47%
12/01/2016,"28,062","28,450","28,450","27,951",2.10K,-1.29%
12/02/2016,"28,445","28,310","28,450","28,300",0.82K,1.36%
12/05/2016,"28,236","28,435","28,530","27,950",0.46K,-0.73%
12/06/2016,"27,944","28,151","28,192","27,911",8.66K,-1.03%
12/07/2016,"28,043","27,944","28,134","27,924",9.90K,0.35%
12/08/2016,"27,896","28,022","28,063","27,875",8.56K,-0.52%
12/09/2016,"27,701","27,845","27,885","27,671",8.95K,-0.70%
12/12/2016,"27,843","27,670","27,927","27,551",8.95K,0.51%
12/13/2016,"27,710","27,766","27,828","27,650",7.07K,-0.48%
12/14/2016,"27,746","27,750","27,826","27,713",7.06K,0.13%
12/15/2016,"27,130","27,730","27,730","27,021",18.56K,-2.22%
12/16/2016,"27,308","27,140","27,414","27,101",13.48K,0.66%
12/19/2016,"27,392","27,400","27,420","27,289",7.23K,0.31%
12/20/2016,"27,262","27,328","27,351","27,153",10.67K,-0.47%
12/21/2016,"27,103","27,282","27,336","27,081",9.46K,-0.58%
12/22/2016,"27,152","27,077","27,293","26,980",11.29K,0.18%
12/23/2016,"27,186","27,126","27,220","27,072",6.30K,0.13%
12/26/2016,"27,241","27,170","27,280","27,101",3.07K,0.20%
12/27/2016,"27,431","27,199","27,720","27,199",10.79K,0.70%
12/28/2016,"27,539","27,575","27,590","27,441",5.90K,0.39%
12/29/2016,"27,810","27,580","27,837","27,580",7.75K,0.98%
12/30/2016,"27,700","27,840","27,889","27,670",8.35K,-0.40%
01/02/2017,"27,828","27,673","27,860","27,670",1.43K,0.46%
01/03/2017,"28,102","27,860","28,134","27,770",0.96K,0.98%
01/04/2017,"28,085","28,080","28,158","27,987",0.72K,-0.06%
01/05/2017,"28,890","28,269","28,925","28,183",0.23K,2.87%
01/06/2017,"27,960","28,001","28,099","27,870",12.12K,-3.22%
01/09/2017,"28,124","28,080","28,150","27,903",9.48K,0.59%
01/10/2017,"28,210","28,132","28,326","28,083",11.75K,0.31%
01/11/2017,"28,353","28,234","28,399","28,155",13.18K,0.51%
01/12/2017,"28,463","28,398","28,565","28,392",12.93K,0.39%
01/13/2017,"28,440","28,469","28,482","28,301",11.16K,-0.08%
01/16/2017,"28,601","28,564","28,691","28,557",8.01K,0.57%
01/17/2017,"28,797","28,620","28,824","28,620",13.35K,0.69%
01/18/2017,"28,852","28,830","28,875","28,736",9.25K,0.19%
01/19/2017,"28,588","28,738","28,738","28,515",12.64K,-0.92%
01/20/2017,"28,685","28,680","28,790","28,583",11.51K,0.34%
01/23/2017,"28,876","28,798","28,920","28,781",9.61K,0.67%
01/24/2017,"28,815","28,863","28,875","28,780",6.70K,-0.21%
01/25/2017,"28,472","28,750","28,750","28,322",11.58K,-1.19%
